time,historical,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,event_experienced,population_variance,recovered_central
2.54,1,Additive genetic variance,1000,2.2959840405995386,2.2864182442943335,1.343848497726866,3.3396440319384566,0,1.8293749682710956,2.2959840405995386
2.54,1,Additive genetic variance,1000,2.2959840405995386,2.2864182442943335,1.343848497726866,3.3396440319384566,1,2.7291067589135354,2.2959840405995386
2.54,1,Common environmental variance,1000,2.25904400314319,2.2546897688306102,1.7125313378223757,2.87083626068628,0,2.25,2.25904400314319
2.54,1,Common environmental variance,1000,2.25904400314319,2.2546897688306102,1.7125313378223757,2.87083626068628,1,2.25,2.25904400314319
2.54,1,Nonshared environmental variance,1000,4.007731906721695,4.004845563184377,3.4298060289676005,4.645604649892611,0,4,4.007731906721695
2.54,1,Nonshared environmental variance,1000,4.007731906721695,4.004845563184377,3.4298060289676005,4.645604649892611,1,4,4.007731906721695
2.54,1,Total phenotypic variance,1000,8.562759950464423,8.667601224680794,7.554948438956052,9.384043489798977,0,8.079374968271097,8.562759950464423
2.54,1,Total phenotypic variance,1000,8.562759950464423,8.667601224680794,7.554948438956052,9.384043489798977,1,8.979106758913534,8.562759950464423
2.5600000000000005,1,Additive genetic variance,1000,2.258854217415276,2.243572983463282,1.3170872942454117,3.284250348579117,0,1.7996178937547236,2.258854217415276
2.5600000000000005,1,Additive genetic variance,1000,2.258854217415276,2.243572983463282,1.3170872942454117,3.284250348579117,1,2.6847144202204603,2.258854217415276
2.5600000000000005,1,Common environmental variance,1000,2.258922992323847,2.2540578464406935,1.7148652937826803,2.872893566033046,0,2.25,2.258922992323847
2.5600000000000005,1,Common environmental variance,1000,2.258922992323847,2.2540578464406935,1.7148652937826803,2.872893566033046,1,2.25,2.258922992323847
2.5600000000000005,1,Nonshared environmental variance,1000,4.007823954090758,4.005297579389909,3.43460398323328,4.650281528184655,0,4,4.007823954090758
2.5600000000000005,1,Nonshared environmental variance,1000,4.007823954090758,4.005297579389909,3.43460398323328,4.650281528184655,1,4,4.007823954090758
2.5600000000000005,1,Total phenotypic variance,1000,8.525601163829881,8.627676737356959,7.519511688596025,9.337501127066368,0,8.049617893754723,8.525601163829881
2.5600000000000005,1,Total phenotypic variance,1000,8.525601163829881,8.627676737356959,7.519511688596025,9.337501127066368,1,8.93471442022046,8.525601163829881
2.58,1,Additive genetic variance,1000,2.2219871422609736,2.2132410065083525,1.2918850515414961,3.229284707259625,0,1.7700616227981283,2.2219871422609736
2.58,1,Additive genetic variance,1000,2.2219871422609736,2.2132410065083525,1.2918850515414961,3.229284707259625,1,2.640621645237234,2.2219871422609736
2.58,1,Common environmental variance,1000,2.25880416360764,2.25320839009807,1.7109582624020478,2.8786048338243178,0,2.25,2.25880416360764
2.58,1,Common environmental variance,1000,2.25880416360764,2.25320839009807,1.7109582624020478,2.8786048338243178,1,2.25,2.25880416360764
2.58,1,Nonshared environmental variance,1000,4.0079140506925635,4.005544406180489,3.4312887257157065,4.654966070158029,0,4,4.0079140506925635
2.58,1,Nonshared environmental variance,1000,4.0079140506925635,4.005544406180489,3.4312887257157065,4.654966070158029,1,4,4.0079140506925635
2.58,1,Total phenotypic variance,1000,8.488705356561177,8.59104236636819,7.490904441450442,9.292288531896748,0,8.020061622798128,8.488705356561177
2.58,1,Total phenotypic variance,1000,8.488705356561177,8.59104236636819,7.490904441450442,9.292288531896748,1,8.890621645237234,8.488705356561177
2.6000000000000005,1,Additive genetic variance,1000,2.1853899897299405,2.178357514350146,1.2681558942831137,3.1748899306869087,0,1.7407122370654262,2.1853899897299405
2.6000000000000005,1,Additive genetic variance,1000,2.1853899897299405,2.178357514350146,1.2681558942831137,3.1748899306869087,1,2.596837506740589,2.1853899897299405
2.6000000000000005,1,Common environmental variance,1000,2.258687601962025,2.2524679763521256,1.7103573517723762,2.883377809496919,0,2.25,2.258687601962025
2.6000000000000005,1,Common environmental variance,1000,2.258687601962025,2.2524679763521256,1.7103573517723762,2.883377809496919,1,2.25,2.258687601962025
2.6000000000000005,1,Nonshared environmental variance,1000,4.008002233233199,4.006927565554086,3.425902244068948,4.659658290730733,0,4,4.008002233233199
2.6000000000000005,1,Nonshared environmental variance,1000,4.008002233233199,4.006927565554086,3.425902244068948,4.659658290730733,1,4,4.008002233233199
2.6000000000000005,1,Total phenotypic variance,1000,8.452079824925164,8.558704243556985,7.462626960213017,9.255214854078814,0,7.990712237065426,8.452079824925164
2.6000000000000005,1,Total phenotypic variance,1000,8.452079824925164,8.558704243556985,7.462626960213017,9.255214854078814,1,8.846837506740588,8.452079824925164
2.62,1,Additive genetic variance,1000,2.1490696811726635,2.1402791511282997,1.2446795006936646,3.1291662008860066,0,1.7115756193890546,2.1490696811726635
2.62,1,Additive genetic variance,1000,2.1490696811726635,2.1402791511282997,1.2446795006936646,3.1291662008860066,1,2.5533707808852464,2.1490696811726635
2.62,1,Common environmental variance,1000,2.2585733934591388,2.2514917144781545,1.7136004731842995,2.887672037957024,0,2.25,2.2585733934591388
2.62,1,Common environmental variance,1000,2.2585733934591388,2.2514917144781545,1.7136004731842995,2.887672037957024,1,2.25,2.2585733934591388
2.62,1,Nonshared environmental variance,1000,4.008088538985889,4.006659107241948,3.41977164714325,4.664358204879643,0,4,4.008088538985889
2.62,1,Nonshared environmental variance,1000,4.008088538985889,4.006659107241948,3.41977164714325,4.664358204879643,1,4,4.008088538985889
2.62,1,Total phenotypic variance,1000,8.415731613617691,8.524580350240257,7.427216277304824,9.218235542845008,0,7.961575619389055,8.415731613617691
2.62,1,Total phenotypic variance,1000,8.415731613617691,8.524580350240257,7.427216277304824,9.218235542845008,1,8.803370780885245,8.415731613617691
2.6399999999999997,1,Additive genetic variance,1000,2.113032884718448,2.1058682973142573,1.2214580578717347,3.075476416782126,0,1.6826574533331564,2.113032884718448
2.6399999999999997,1,Additive genetic variance,1000,2.113032884718448,2.1058682973142573,1.2214580578717347,3.075476416782126,1,2.510229946552566,2.113032884718448
2.6399999999999997,1,Common environmental variance,1000,2.258461625275632,2.2518754044735667,1.707885764172891,2.8900804201028643,0,2.25,2.258461625275632
2.6399999999999997,1,Common environmental variance,1000,2.258461625275632,2.2518754044735667,1.707885764172891,2.8900804201028643,1,2.25,2.258461625275632
2.6399999999999997,1,Nonshared environmental variance,1000,4.008173005790917,4.006718864690141,3.4136344577186564,4.669065827640756,0,4,4.008173005790917
2.6399999999999997,1,Nonshared environmental variance,1000,4.008173005790917,4.006718864690141,3.4136344577186564,4.669065827640756,1,4,4.008173005790917
2.6399999999999997,1,Total phenotypic variance,1000,8.379667515784998,8.48860414362736,7.39183748061584,9.166983476155416,0,7.932657453333157,8.379667515784998
2.6399999999999997,1,Total phenotypic variance,1000,8.379667515784998,8.48860414362736,7.39183748061584,9.166983476155416,1,8.760229946552567,8.379667515784998
2.66,1,Additive genetic variance,1000,2.0772860155024353,2.0732626411316417,1.1983333006625063,3.0334275910703856,0,1.653963222922298,2.0772860155024353
2.66,1,Additive genetic variance,1000,2.0772860155024353,2.0732626411316417,1.1983333006625063,3.0334275910703856,1,2.4674231849458383,2.0772860155024353
2.66,1,Common environmental variance,1000,2.2583523856925116,2.252507904988869,1.7021681492812537,2.892901845900283,0,2.25,2.2583523856925116
2.66,1,Common environmental variance,1000,2.2583523856925116,2.252507904988869,1.7021681492812537,2.892901845900283,1,2.25,2.2583523856925116
2.66,1,Nonshared environmental variance,1000,4.00825567205555,4.006263254520243,3.4080589623378343,4.6738521779381585,0,4,4.00825567205555
2.66,1,Nonshared environmental variance,1000,4.00825567205555,4.006263254520243,3.4080589623378343,4.6738521779381585,1,4,4.00825567205555
